chain_id,arm,round,summary_words,budget_words,total_cost_usd,duration_api_ms,n_survived,n_mutated
A-0,A,1,112,150,0.0365703,14748,16,0
A-0,A,2,110,150,0.0326463,15750,16,0
A-0,A,3,91,150,0.0295283,10867,16,0
A-0,A,4,94,150,0.030564299999999996,15828,0,0
A-0,A,5,95,150,0.0305213,11630,0,0
A-1,A,1,112,150,0.0372533,15926,3,0
A-1,A,2,125,150,0.030246299999999997,11093,3,0
A-1,A,3,104,150,0.0308803,12151,3,0
A-1,A,4,103,150,0.0335373,19881,3,0
A-1,A,5,117,150,0.0288263,9272,3,0
A-2,A,1,134,150,0.035020300000000004,14363,4,0
A-2,A,2,80,150,0.0283963,8093,0,0
A-2,A,3,107,150,0.029962299999999997,10506,0,0
A-2,A,4,101,150,0.0296393,10087,0,0
A-2,A,5,99,150,0.030857299999999997,13211,0,0
A-3,A,1,115,150,0.0327713,7345,0,0
A-3,A,2,72,150,0.0284713,9963,0,0
A-3,A,3,40,150,0.0271983,6399,0,0
A-3,A,4,61,150,0.0275223,7010,0,0
A-3,A,5,98,150,0.0295473,10135,0,0
A-4,A,1,121,150,0.0368943,16410,5,0
A-4,A,2,123,150,0.0362443,20987,5,0
A-4,A,3,93,150,0.0303533,16602,0,0
A-4,A,4,95,150,0.0325753,8867,0,0
A-4,A,5,116,150,0.030733299999999998,11933,0,0
A-5,A,1,165,150,0.0348103,13210,4,0
A-5,A,2,82,150,0.027803300000000003,8015,0,0
A-5,A,3,57,150,0.0274803,8767,0,0
A-5,A,4,76,150,0.0271543,7278,0,0
A-5,A,5,76,150,0.0275423,13816,0,0
B-0,B,1,231,400,0.0354803,15464,16,0
B-0,B,2,230,400,0.0337313,14887,15,0
B-0,B,3,234,400,0.0370543,18086,0,0
B-0,B,4,233,400,0.034479300000000004,20839,0,0
B-0,B,5,261,400,0.036343299999999995,20494,0,0
B-1,B,1,240,400,0.0415033,21339,16,0
B-1,B,2,275,400,0.0347273,19390,16,0
B-1,B,3,198,400,0.0306453,12542,8,0
B-1,B,4,296,400,0.0357133,24026,8,0
B-1,B,5,311,400,0.0329133,17745,8,0
B-2,B,1,121,400,0.035803299999999996,14484,9,0
B-2,B,2,141,400,0.029040299999999998,10747,0,0
B-2,B,3,170,400,0.0305683,13516,0,0
B-2,B,4,215,400,0.0302133,13734,0,0
B-2,B,5,271,400,0.034678299999999995,20530,0,0
B-3,B,1,169,400,0.0359313,15895,5,0
B-3,B,2,138,400,0.029018299999999997,10024,5,0
B-3,B,3,114,400,0.0281183,11846,0,0
B-3,B,4,139,400,0.028920300000000003,11447,0,0
B-3,B,5,253,400,0.0294443,11879,0,0
B-4,B,1,173,400,0.0349543,15020,8,0
B-4,B,2,235,400,0.031024299999999998,18169,4,0
B-4,B,3,85,400,0.0313293,9537,4,0
B-4,B,4,213,400,0.0354643,18021,0,0
B-4,B,5,236,400,0.030837299999999998,13145,0,0
B-5,B,1,244,400,0.0361953,16544,16,0
B-5,B,2,179,400,0.031458299999999995,17342,0,0
B-5,B,3,231,400,0.0298133,10716,0,0
B-5,B,4,270,400,0.0314103,14542,0,0
B-5,B,5,300,400,0.0313793,16155,0,0
C-0,C,1,137,150,0.035151299999999996,11966,16,0
C-0,C,2,134,150,0.0325133,14895,16,0
C-0,C,3,124,150,0.0349963,20632,16,0
C-0,C,4,117,150,0.0308123,16239,16,0
C-0,C,5,119,150,0.041019299999999995,28857,16,0
C-1,C,1,174,150,0.0353893,12322,16,0
C-1,C,2,113,150,0.0313123,15341,16,0
C-1,C,3,104,150,0.0341473,19089,16,0
C-1,C,4,105,150,0.030716300000000002,13478,16,0
C-1,C,5,101,150,0.0309643,13383,16,0
C-2,C,1,171,150,0.0418143,18519,16,0
C-2,C,2,114,150,0.0322393,14427,16,0
C-2,C,3,113,150,0.0358883,23216,16,0
C-2,C,4,101,150,0.0325003,18672,16,0
C-2,C,5,134,150,0.0339943,19031,16,0
C-3,C,1,139,150,0.036897299999999994,15907,16,0
C-3,C,2,121,150,0.0311243,13807,16,0
C-3,C,3,126,150,0.0425923,29951,16,0
C-3,C,4,126,150,0.041394299999999995,28053,16,0
C-3,C,5,114,150,0.0315003,14211,16,0
C-4,C,1,93,150,0.0370253,19926,16,0
C-4,C,2,101,150,0.031619299999999996,13963,16,0
C-4,C,3,95,150,0.0317503,16763,16,0
C-4,C,4,90,150,0.0324323,18637,16,0
C-4,C,5,89,150,0.0315913,13597,16,0
C-5,C,1,164,150,0.0356263,13332,16,0
C-5,C,2,133,150,0.030356299999999996,14601,16,0
C-5,C,3,108,150,0.031543299999999996,16318,16,0
C-5,C,4,104,150,0.029749300000000003,10585,16,0
C-5,C,5,106,150,0.0324513,15186,16,0
pilot-A-0,A,1,140,150,0.044418599999999996,16198,15,0
pilot-A-0,A,2,119,150,0.0298703,10241,0,0
pilot-A-0,A,3,111,150,0.0336063,17051,0,0
pilot-A-0,A,4,125,150,0.0295793,9739,0,0
pilot-A-0,A,5,108,150,0.029696300000000002,9936,0,0
repA0-rep1,A,1,57,150,0.0064854000000000005,9689,0,0
repA0-rep1,A,2,82,150,0.0280553,8906,0,0
repA0-rep1,A,3,69,150,0.0275473,11386,0,0
repA0-rep1,A,4,100,150,0.0289793,10349,0,0
repA0-rep1,A,5,106,150,0.0289253,10084,0,0
repA0-rep2,A,1,107,150,0.0365833,10729,4,0
repA0-rep2,A,2,110,150,0.0289853,10327,2,0
repA0-rep2,A,3,95,150,0.0282123,8392,2,0
repA0-rep2,A,4,133,150,0.029990299999999998,10363,2,0
repA0-rep2,A,5,107,150,0.0300753,11638,2,0
