chain_id,arm,chain_idx,round,fact_idx,descriptor,code,position_frac,position_bucket,survived,mutated,mutant_token
A-0,A,0,1,0,license activation code,NHWWTGAJ,0.2866,early,1,0,
A-0,A,0,1,1,TLS certificate serial fragment,2H4389QQ,0.1691,early,1,0,
A-0,A,0,1,2,build artifact hash prefix,CKSQBVDT,0.0512,early,1,0,
A-0,A,0,1,3,customer account reference,RX2R33X7,0.7567,late,1,0,
A-0,A,0,1,4,incident tracking number,GCDRHARC,0.2315,early,1,0,
A-0,A,0,1,5,webhook signing secret,S6ZD3FE2,0.6471,middle,1,0,
A-0,A,0,1,6,message queue topic suffix,AR586HHA,0.5286,middle,1,0,
A-0,A,0,1,7,session recovery nonce,26V3GJFM,0.9386,late,1,0,
A-0,A,0,1,8,rollback release tag,9KF3F68C,0.4737,middle,1,0,
A-0,A,0,1,9,staging database password,AQ2MKQUS,0.7016,late,1,0,
A-0,A,0,1,10,production API key suffix,PZD8GFFU,0.1129,early,1,0,
A-0,A,0,1,11,container registry token,PRVCYV6V,0.5903,middle,1,0,
A-0,A,0,1,12,on-call routing key,YFNMHTU2,0.8181,late,1,0,
A-0,A,0,1,13,deploy ticket reference,7QXB2286,0.3503,middle,1,0,
A-0,A,0,1,14,monitoring dashboard UID,Q4VQ3W6E,0.4107,middle,1,0,
A-0,A,0,1,15,nightly cron job identifier,S428ZGC5,0.8792,late,1,0,
A-0,A,0,2,0,license activation code,NHWWTGAJ,0.2866,early,1,0,
A-0,A,0,2,1,TLS certificate serial fragment,2H4389QQ,0.1691,early,1,0,
A-0,A,0,2,2,build artifact hash prefix,CKSQBVDT,0.0512,early,1,0,
A-0,A,0,2,3,customer account reference,RX2R33X7,0.7567,late,1,0,
A-0,A,0,2,4,incident tracking number,GCDRHARC,0.2315,early,1,0,
A-0,A,0,2,5,webhook signing secret,S6ZD3FE2,0.6471,middle,1,0,
A-0,A,0,2,6,message queue topic suffix,AR586HHA,0.5286,middle,1,0,
A-0,A,0,2,7,session recovery nonce,26V3GJFM,0.9386,late,1,0,
A-0,A,0,2,8,rollback release tag,9KF3F68C,0.4737,middle,1,0,
A-0,A,0,2,9,staging database password,AQ2MKQUS,0.7016,late,1,0,
A-0,A,0,2,10,production API key suffix,PZD8GFFU,0.1129,early,1,0,
A-0,A,0,2,11,container registry token,PRVCYV6V,0.5903,middle,1,0,
A-0,A,0,2,12,on-call routing key,YFNMHTU2,0.8181,late,1,0,
A-0,A,0,2,13,deploy ticket reference,7QXB2286,0.3503,middle,1,0,
A-0,A,0,2,14,monitoring dashboard UID,Q4VQ3W6E,0.4107,middle,1,0,
A-0,A,0,2,15,nightly cron job identifier,S428ZGC5,0.8792,late,1,0,
A-0,A,0,3,0,license activation code,NHWWTGAJ,0.2866,early,1,0,
A-0,A,0,3,1,TLS certificate serial fragment,2H4389QQ,0.1691,early,1,0,
A-0,A,0,3,2,build artifact hash prefix,CKSQBVDT,0.0512,early,1,0,
A-0,A,0,3,3,customer account reference,RX2R33X7,0.7567,late,1,0,
A-0,A,0,3,4,incident tracking number,GCDRHARC,0.2315,early,1,0,
A-0,A,0,3,5,webhook signing secret,S6ZD3FE2,0.6471,middle,1,0,
A-0,A,0,3,6,message queue topic suffix,AR586HHA,0.5286,middle,1,0,
A-0,A,0,3,7,session recovery nonce,26V3GJFM,0.9386,late,1,0,
A-0,A,0,3,8,rollback release tag,9KF3F68C,0.4737,middle,1,0,
A-0,A,0,3,9,staging database password,AQ2MKQUS,0.7016,late,1,0,
A-0,A,0,3,10,production API key suffix,PZD8GFFU,0.1129,early,1,0,
A-0,A,0,3,11,container registry token,PRVCYV6V,0.5903,middle,1,0,
A-0,A,0,3,12,on-call routing key,YFNMHTU2,0.8181,late,1,0,
A-0,A,0,3,13,deploy ticket reference,7QXB2286,0.3503,middle,1,0,
A-0,A,0,3,14,monitoring dashboard UID,Q4VQ3W6E,0.4107,middle,1,0,
A-0,A,0,3,15,nightly cron job identifier,S428ZGC5,0.8792,late,1,0,
A-0,A,0,4,0,license activation code,NHWWTGAJ,0.2866,early,0,0,
A-0,A,0,4,1,TLS certificate serial fragment,2H4389QQ,0.1691,early,0,0,
A-0,A,0,4,2,build artifact hash prefix,CKSQBVDT,0.0512,early,0,0,
A-0,A,0,4,3,customer account reference,RX2R33X7,0.7567,late,0,0,
A-0,A,0,4,4,incident tracking number,GCDRHARC,0.2315,early,0,0,
A-0,A,0,4,5,webhook signing secret,S6ZD3FE2,0.6471,middle,0,0,
A-0,A,0,4,6,message queue topic suffix,AR586HHA,0.5286,middle,0,0,
A-0,A,0,4,7,session recovery nonce,26V3GJFM,0.9386,late,0,0,
A-0,A,0,4,8,rollback release tag,9KF3F68C,0.4737,middle,0,0,
A-0,A,0,4,9,staging database password,AQ2MKQUS,0.7016,late,0,0,
A-0,A,0,4,10,production API key suffix,PZD8GFFU,0.1129,early,0,0,
